comments_num,director,name,order,score,screenwriter,type
1329551,彼得·法雷里,绿皮书 Green Book,No.61,8.9,"尼克·瓦莱隆加,布莱恩·库瑞,彼得·法雷里","剧情,喜剧,音乐,传记"
407202,阿兰·葛斯彭纳,海蒂和爷爷 Heidi,No.60,9.2,"约翰娜·施皮里,佩特拉·比翁迪娜·沃尔普","剧情,家庭,冒险"
684259,"莉莉·沃卓斯基,拉娜·沃卓斯基",黑客帝国 The Matrix,No.59,9.1,"莉莉·沃卓斯基,拉娜·沃卓斯基","动作,科幻"
719964,大卫·芬奇,搏击俱乐部 Fight Club,No.58,9.0,"恰克·帕拉尼克,吉姆·乌尔斯","剧情,动作,悬疑,惊悚"
589566,彼得·威尔,死亡诗社 Dead Poets Society,No.57,9.1,汤姆·舒尔曼,剧情
448346,弗朗西斯·福特·科波拉,教父2 The Godfather: Part Ⅱ,No.56,9.2,"弗朗西斯·福特·科波拉,马里奥·普佐","剧情,犯罪"
700601,"罗杰·阿勒斯,罗伯·明可夫",狮子王 The Lion King,No.55,9.1,"艾琳·梅琪,乔纳森·罗伯特 ,琳达·伍尔芙顿","动画,歌舞,冒险"
1394272,姜文,让子弹飞,No.54,8.9,"朱苏进,述平,姜文,郭俊立,危笑,李不空,马识途","剧情,喜剧,动作,西部"
353124,万籁鸣,大闹天宫,No.53,9.4,"李克弱,万籁鸣","动画,奇幻"
479769,罗曼·波兰斯基,钢琴家 The Pianist,No.52,9.2,罗纳德·哈伍德,"剧情,音乐,传记,战争"
comments_num,director,name,order,score,screenwriter,type
613908,李安,断背山 Brokeback Mountain,No.100,8.8,"拉里·麦克穆特瑞,黛安娜·奥撒纳,安妮·普鲁","剧情,爱情,同性,家庭"
461688,李焕庆,7号房的礼物 7번방의 선물,No.99,8.9,"李焕庆,刘英雅","剧情,喜剧,家庭"
581093,卢卡·瓜达尼诺,请以你的名字呼唤我 Call Me by Your Name,No.98,8.9,"詹姆斯·伊沃里,安德列‧艾席蒙","剧情,爱情,同性"
